,Utterance,Label
807,Sir I cannot believe it. It seems like,non-humor
808,Koki will come from the kichen with a tray any time.,non-humor
809,You are a fool! You say anything!,humor
810,How will she come like this?,non-humor
811,Oho,non-humor
812,"Who was this, kulkarni?",non-humor
813,Do not know sir. Has not been decided yet.,humor
814,Ah!,non-humor
815,"Meaning, she is my neighbor.",humor
816,"That is, Prema ji?",humor
817,No sir.,non-humor
818,"You know our neighbour Pinki aunty, she is her niece.",non-humor
819,Kulkarni I'm still not able to believe it.,non-humor
820,That you are able to wash your hands of your wife so quickly!,non-humor
821,"It was nothing, sir.",non-humor
822,"She was tough and strong, sir.",non-humor
823,She went on the pilgrimage laughing and playing.,humor
824,She climbed the peak of the snowy Himalayas laughing and playing.,humor
825,"Laughing and playing, she was looking down from there.",humor
826,"Laughing and playing, a bird came flying and pushed her.",humor
827,And my Koki was gone.,humor
828,Third class!,non-humor
829,"You are a third class man, Kulkarni.",non-humor
830,When will you improve?,non-humor
831,What happened sir?,non-humor
832,Who sends his wife on a pilgrimage on a snowy peak.,humor
833,"You know, ice is very dangerous.",humor
834,I do not even let Mrs. Sharma eat ice cream till date.,humor
835,"And one does not find such wives often, Kulkarni.",non-humor
836,"Okay, Gokhale?",humor
837,Yes sir. Right Right,non-humor
838,And do not make such a mistake from now on!,humor
839,OK sir.,non-humor
840,Let's go gokhale.,non-humor
841,Wait.,non-humor
842,Kulkarni where is this snowy peak?,non-humor
843,Must be somewhere in Himachal Pradesh sir.,non-humor
844,"Oh there only, find out and bring me its location. ",non-humor
845,Why sir?,non-humor
846,I also want to send Mrs Sharma on a Pilgrimage.,humor
847,"Let's go, gokhale.",non-humor
848,You get the car. I'm coming.,humor
849,"Water… I'll drink water and come, sir.",humor
850,"All will be fine, Kulkarni.",non-humor
851,Kulkarni.,non-humor
852,How is this maid?,non-humor
853,Eh I do not know.,non-humor
854,She always stays in the veil.,non-humor
855,"No, no, but you must have seen her face.",non-humor
856,Eh she never shows it! How would I see?,non-humor
857,Always stays in the veil.,non-humor
858,"Kulkarni, are you sure this maid is not Koki?",humor
859,Babu ji... babu ji!,non-humor
860,What are you doing? Babu ji.,non-humor
861,Why did you lay your hand on my veil?,humor
862,What face should I show to the world?,humor
863,As if you show your face to the world!,humor
864,Chintu chintu…,humor
865,Shut up shut up shut up!,non-humor
866,Do not do much drama,non-humor
867,"Otherwise, you will remain a virgin throughout your life.",non-humor
868,Aaah!,humor
869,Hush ..,non-humor
870,Hush ..,humor
871,Be quiet. Go to sleep! Go to sleep!,non-humor
872,Hush ..,non-humor
873,"Koki! Koki, give me my tea.",humor
874,Oh! I simply forgot,non-humor
875,My Koki has passed away.,humor
876,Koki!,non-humor
877,My dear,non-humor
878,Who will give me tea in your absence?,humor
879,Tea…,humor
880,Babu ji…,non-humor
881,"Oh, i was forgetting.",non-humor
882,Koki's substitute has also come.,humor
883,How did you like the tea?,humor
884,There's better tea at the railway station.,humor
885,Babu ji…,non-humor
886,What is it?,humor
887,Why do you touch my veil yesterday?,humor
888,Aa.. The the the the there was a a cockroach on your veil.,humor
889,Now you will have to marry me according to the custom.,humor
890,Hey wow what kind of custom is this!,non-humor
891,If I had already known I would have put a cockroach-killing medicine on your veil.,humor
892,Why? Am I so bad?,non-humor
893,How do I know? I don't even know this till now,non-humor
894,That you are Pinky's niece or nephew.,humor
895,That you'll find out only after the marriage.,non-humor
896,But I do not want to do this marriage.,non-humor
897,Why,humor
898,My Koki will feel so bad.,humor
899,But she's gone.,humor
900,"Yes, yes, she's gone, but…",humor
901,Her perfume,humor
902,Her fragrance,humor
903,Her soul is roaming around me like you are.What of that?,non-humor
904,"That is good, that is good.",non-humor
905,What is good?,humor
906,"You made horrible, horrible tea.",non-humor
907,Take this cup! Go to the corner and work.,non-humor
908,I have to make very important calls.,humor
909,I have to refresh old relations.,humor
910,Go work.,non-humor
911,Who was hot ..,non-humor
912,Pushpa…,non-humor
913,"Hey, Push Baby, Kesh here.",humor
914,How you doing?,non-humor
915,Should we meet today evening?,non-humor
916,"No no not 6 o'clock, at 4 o'clock, at 4 o'clock.",non-humor
917,In the same old garden,non-humor
918,Where the police used to catch me and beat me.,humor
919,Same place.,non-humor
920,Okay. See you at 4.,non-humor
921,"Bye, Push.",non-humor
922,Hey…,non-humor
923,Ay go and work in the corner. Go.,humor
924,Who is hot?,humor
925,Chanchal ..,non-humor
926,Dazzling Chanchal.,humor
927,"Hey, Chanchal babes, what's up?",non-humor
928,Will you meet today?,non-humor
929,"No no not 9 o'clock, at 6 o'clock",non-humor
930,The same old our hotel fun and frolic.,humor
931,"We'll gave a lot of fun. See ya, babe.",non-humor
932,"What are you doing, idiot?",non-humor
933,"Mosquito, Babu ji.",humor
934,Mosquito? Hit the mosquito away in the corner. Go.,humor
935,Who was the other hot woman?,non-humor
936,Chameli.,humor
937,Chammu my life.,humor
938,Will you meet today at my house?,non-humor
939,"No, not at 6 o'clock, after 9 o'clock",non-humor
940,"If it gets late, then go to sleep here.",non-humor
941,What are you doing.,non-humor
942,Cleaning.,humor
943,Hey go far away and do it. Far away.,non-humor
944,No. She is my maid.,non-humor
945,"No no, not her. My relationship with her got broken.",humor
946,Just after marriage.,non-humor
947,"Chammo, after 9 o'clock, wear your short dress and come.",humor
948,"You looking very hot, okay? Babes, bye!",humor
949,"Cleaning, Babu Ji.",humor
950,Good good.,non-humor
951,Keep cleaning… go move go…,humor
952,"How are you, Keshu pa ji?",humor
953,I'm fine. How are you?,non-humor
954,I'm good too.,non-humor
955,Now you won't be.,humor
956,What!,non-humor
957,Koki!,non-humor
958,Koki Koki…,non-humor
959,"Pinki, don't give me any advice from now on.",humor
960,But what happened?,non-humor
961,"You only said, didn't you?",non-humor
962,If you want to see your husband's love,humor
963,"So die once and see, Koki.",humor
964,Yes. So?,non-humor
965,So?,non-humor
966,"You let me die, Pinky.",non-humor
967,But what happened?,non-humor
968,Pinki!,non-humor
969,"Today, I'm going to see my husband's love",humor
970,I'm seeing it three times.,humor
971,Huh!,non-humor
972,Yes…,non-humor
973,Lovely Pushpa ..,non-humor
974,Dear Keshav ..,humor
975,Lovely Push ..,non-humor
976,Dear Keshu ..,non-humor
977,Lovely Pu..,humor
978,Dear Ke..,humor
979,"I love you, Pu!",non-humor
980,"I love you too, Ke!",humor
981,See did you see Keshu.,non-humor
982,Koki… ( cannot see anything.,humor
983,"Hey, lid! This…",non-humor
984,Oh…,non-humor
985,Pu darling Close Your eyes. I have a surprise.,non-humor
986,Ok.,non-humor
987,Watch Pu Darling What I brought for you.,non-humor
988,A ring!,humor
989,No no no no... This is not a ring.,humor
990,This is an engagement ring.,humor
991,Oh your finger is so cool.,non-humor
992,Keshu! this is very loose.,non-humor
993,"It will have to be loose, darling.",humor
994,It is Koki's.,humor
995,Oh…,humor
996,Saw?,non-humor
997,"Pinky, gone my engagement ring has gone.",humor
998,"Oh! Sorry. Sorry, Pu.",humor
999,"Koki, I think Keshu ji has gone mad in the grief of your passing.",humor
1000,This Keshu has not become mad.,non-humor
1001,I've become mad.,humor
1002,Come come let's go home.,non-humor
1003,not home.,non-humor
1004,Now we will go to Hotel Fun and Frolic.,non-humor
1005,To see my husband's second girlfriend.,humor
1006,Chanchal darling…,non-humor
1007,Darling Keshav ..,humor
1008,Chanchal Darling I Love you a lot.,humor
1009,"Move, Keshav.",non-humor
1010,Chanchal Darling Close Your eyes.,humor
1011,I have a surprise.,non-humor
1012,Ok.,non-humor
1013,Tell me what I have brought for you,non-humor
1014,"What have you brought? Tell me na, Keshav.",non-humor
1015,Gold bracelet for your delicate delicate hand,humor
1016,Sorry. Very sorry,humor
1017,I was so excited!,humor
1018,Oh! So silly of me!,non-humor
1019,I thought you did not like bracelet.,non-humor
1020,No I Just Love It.,humor
1021,Is it?,non-humor
1022,This is my mother's and my to-be-child's mother's last sign.,humor
1023,What?,non-humor
1024,You mean I will have to be your children's mother for this?,humor
1025,Chintu is also your child.,non-humor
1026,What?,non-humor
1027,"I mean, he will be he will be, darling.",non-humor
1028,No Baba no! I don’t want to fall into this kind of bother!,humor
1029,"Anyway, many eligible bachelors are lying around.",non-humor
1030,Bye! I'm going!,non-humor
1031,Listen! Listen! Listen! Listen!,non-humor
1032,We will send Chintu away!,non-humor
1033,Very far away!,humor
1034,We'll send him very far away to a boarding school!,non-humor
1035,Yes!,non-humor
1036,You're happy now?,non-humor
1037,Ok.,non-humor
1038,Come let me put on your delicate hands,humor
1039,this bracelet with my own hands.,humor
1040,Oh how delicate they are.,non-humor
1041,Ouch!,non-humor
1042,I am so sorry.,non-humor
1043,The second delicate hand.,non-humor
1044,"Sorry. Sorry, Darling.",humor
1045,Selfie?,non-humor
1046,Yeah.,non-humor
1047,"Hey, my bracelet is gone Pinky gone.",humor
1048,Your pilgrimage has turned out to be very expensive for me.,humor
1049,Both Bracelet Both Bracelet.,non-humor
1050,9 o'clock! Bye.,humor
1051,Keshu! Keshu!,non-humor
1052,Where will the third girl come?,non-humor
1053,my home.,humor
1054,Come! Come inside!,humor
1055,Let me show you my bedroom.,non-humor
1056,"Have a seat. So, how you feeling?",humor
1057,Your home is very good.,non-humor
1058,And specially Your Bedroom!,humor
1059,Is not it?,non-humor
1060,"From tomorrow, this very good home, this special bedroom,  will all become yours.",humor
1061,How so?,non-humor
1062,"I will marry you, my life.",humor
1063,See this.,non-humor
1064,Mangalsutra?,non-humor
1065,It's koki's.,humor
1066,"From tomorrow, this very good home, this special bedroom, this mangal sutra, and I am all yours.",humor
1067,Why from tomorrow?,humor
1068,"Today only, I'll put this mangal sutra on you with my hands.",humor
1069,Keshu!,non-humor
1070,Koki! Will you now goon a pilgrimage?,humor
1071,"Never! Sorry, Keshu!",humor
1072,Sorry?,humor
1073,Keshu!,humor
1074,My cucumber!,humor
1075,My chakuli!,humor
1076,Air is a mixture of gases.,non-humor
1078,CO2 is equal to carbon dioxide.,non-humor
1079,Chintu son!,humor
1080,"Speak, papa!",humor
1081,Can't you talk to your father properly?,non-humor
1082,Can't you talk to your son properly?,humor
1083,Chintoo son.,humor
1084,"Speak, Papa.",humor
1085,Where is mom?,non-humor
1086,Mummy she has gone to the police station.,non-humor
1087,Police station? With whom?,non-humor
1088,With grumbling aunt.,humor
1089,Pinky! Surely she has gone to complain about me.,non-humor
1090,"oh man! Keshu You came! Here, eat these sweets.",non-humor
1091,When is the police coming to arrest me?,humor
1092,Huh?,non-humor
1093,"Do not forget that I also have a lot of evidence, you understand?",non-humor
1094,You are speaking? Why would the police arrest you?,non-humor
1095,Why? You went to the police station with Pinki.,non-humor
1096,I did not go with a complaint about you!,non-humor
1097,And anyway the police can't do anything to you.,humor
1098,"Okay right? then why did you go to the police station, my dear?",non-humor
1099,Eh you know the slum of Shanti Nagar in the street corner?,non-humor
1100,Yes.,non-humor
1101,All of us ladies went there.,humor
1102,Just with a request for its removal.,non-humor
1103,"Leave it leave it, the police station will be removed, but the slum won't move.",humor
1104,Oh! The inspector has assured us.,non-humor
1105,Exactly!,non-humor
1106,"They are there only to assure, not to fulfil!",humor
1107,Hey Oh Keshav Great sage Kulkarni,humor
1108,You do not know the power of women!,humor
1109,"You'll see by tomorrow evening the slum will be removed, I mean removed!",humor
1110,"It won't be removed, it won't be removed!",non-humor
